,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2157,7,25,3,101.1,22500000,Выборгский, Композиторов,12,Проспект Просвещения,297155703,Композиторов 12,30.1199466,59.6783559
2158,9,17,3,88.79,22352653,Невский,Октябрьская набережная,11Б,Пролетарская,297359658,Октябрьская набережная 11Б,30.4469472,59.8935011
2159,15,17,3,90.56,22531047,Невский,Октябрьская набережная,11Б,Пролетарская,297359491,Октябрьская набережная 11Б,30.4469472,59.8935011
2160,2,12,3,79.6,22482303,Василеостровский,Гавань,1,Приморская,291846335,Гавань 1,30.18184861947747,59.871402700000004
2161,10,13,3,77.6,22376368,Приморский,Студенческая ,14к2,Лесная,299384031,Студенческая 14к2,30.3251034,59.9915701
2162,3,4,3,90.3,22700000,Центральный,Стремянная ,2/4,Достоевская,290781470,Стремянная 2/4,30.348282486283185,59.93154835
2163,2,12,3,101.4,22703891,Московский,Черниговская ,17,Московские ворота,298657709,Черниговская 17,50.307503972209446,53.295697950000005
2164,4,5,3,81.2,22900000,Центральный,Большая Конюшенная ,3,Адмиралтейская,298962706,Большая Конюшенная 3,30.32386143754849,59.94069985
2165,4,23,3,105.5,22840750,Невский,Октябрьская набережная,57к3,Елизаровская,294544538,Октябрьская набережная 57к3,30.4469472,59.8935011
2166,2,23,3,107.0,22769600,Невский,Октябрьская набережная,57к3,Елизаровская,294544522,Октябрьская набережная 57к3,30.4469472,59.8935011
2167,4,12,3,100.1,22819131,Московский,Черниговская ,17,Московские ворота,298657728,Черниговская 17,50.307503972209446,53.295697950000005
2168,11,12,3,80.7,22915168,Фрунзенский,Волковское,4,Обводный канал,294724107,Волковское 4,30.40290288710417,59.8820492
2169,7,18,3,103.1,23197500,Василеостровский,бульвар Александра Грина,2к2,Приморская,296079711,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2170,9,18,3,110.1,23121000,Василеостровский,бульвар Александра Грина,2к2,Приморская,294573275,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2171,6,18,3,110.5,23205000,Василеостровский,бульвар Александра Грина,2к2,Приморская,294573299,бульвар Александра Грина 2к2,30.206002297833763,59.93513085
2172,3,12,3,92.4,23022995,Московский,Черниговская ,17,Московские ворота,298657747,Черниговская 17,50.307503972209446,53.295697950000005
2173,1,9,3,96.0,23000000,Фрунзенский,Будапештская ,8к4,Международная,262891116,Будапештская 8к4,30.3687218,59.8717171
